date,open,close,high,low,volume,middle_band,std,upper_band,lower_band,signal,position,prev_close,limit_up,limit_down,portfolio,cash,trade_executed,returns,max_drawdown
2024-03-11,1558.15,1576.28,1580.37,1556.46,2989509.0,1571.4625,18.98933021046934,1609.4411604209388,1533.4838395790614,0,0.0,1554.83,1710.313,1399.347,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-03-12,1575.77,1623.27,1627.08,1572.57,5422654.0,1576.8110000000001,17.652024157083005,1612.1150483141662,1541.506951685834,0,0.0,1576.28,1733.9080000000001,1418.652,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-03-13,1618.59,1606.94,1626.06,1600.11,2649954.0,1579.204,18.352003303816552,1615.908006607633,1542.4999933923668,-1,0.0,1623.27,1785.5970000000002,1460.943,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-03-14,1599.08,1596.88,1613.82,1592.11,1940479.0,1579.4665,18.57528331582842,1616.6170666316568,1542.3159333683432,0,0.0,1606.94,1767.6340000000002,1446.246,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-03-15,1593.04,1597.68,1611.55,1592.57,1783358.0,1580.001,18.95312303109212,1617.9072460621842,1542.0947539378158,0,0.0,1596.88,1756.5680000000002,1437.1920000000002,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-03-18,1595.36,1589.09,1599.87,1580.48,2605501.0,1580.5975,19.046506759429075,1618.6905135188583,1542.5044864811418,0,0.0,1597.68,1757.4480000000003,1437.912,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-03-19,1584.2,1588.87,1599.96,1575.0,2394753.0,1582.366,18.012023586603075,1618.390047173206,1546.3419528267939,0,0.0,1589.09,1747.999,1430.181,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-03-20,1584.54,1590.34,1594.14,1581.62,1524925.0,1581.991,17.74906132433126,1617.4891226486625,1546.4928773513375,0,0.0,1588.87,1747.757,1429.983,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-03-21,1588.94,1589.78,1599.08,1585.6,1659597.0,1581.5544999999997,17.425835168390766,1616.4061703367813,1546.7028296632182,0,0.0,1590.34,1749.374,1431.306,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-03-22,1586.09,1582.67,1589.77,1570.25,2545614.0,1580.962,17.16123833098202,1615.284476661964,1546.639523338036,0,0.0,1589.78,1748.758,1430.802,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-03-25,1580.05,1571.19,1580.27,1563.34,2447285.0,1580.6844999999998,17.277579775387288,1615.2396595507744,1546.1293404492253,0,0.0,1582.67,1740.9370000000001,1424.403,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-03-26,1569.74,1590.05,1593.32,1569.74,2806907.0,1581.605,17.260761250521462,1616.126522501043,1547.083477498957,0,0.0,1571.19,1728.3090000000002,1414.0710000000001,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-03-27,1586.06,1582.34,1592.57,1580.48,1811258.0,1582.5095,16.770471378684984,1616.0504427573699,1548.96855724263,0,0.0,1590.05,1749.055,1431.045,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-03-28,1576.76,1582.94,1598.15,1575.08,2464218.0,1582.8184999999999,16.715804773048188,1616.2501095460962,1549.3868904539036,0,0.0,1582.34,1740.574,1424.106,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-03-29,1582.94,1584.11,1591.63,1579.64,1345655.0,1583.6485,16.323190243851727,1616.2948804877035,1551.0021195122965,0,0.0,1582.94,1741.2340000000002,1424.6460000000002,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-04-01,1590.7,1601.25,1613.04,1589.5,2713137.0,1585.743,15.718958081184281,1617.1809161623685,1554.3050838376314,0,0.0,1584.11,1742.521,1425.6989999999998,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-04-02,1601.88,1594.42,1604.66,1586.11,2544925.0,1586.6215,15.686730656333218,1617.9949613126664,1555.2480386873335,0,0.0,1601.25,1761.3750000000002,1441.125,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-04-03,1613.04,1595.47,1618.1,1590.73,2904580.0,1588.229,14.795183746929164,1617.8193674938584,1558.6386325061417,0,0.0,1594.42,1753.8620000000003,1434.978,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-04-08,1576.76,1550.4,1577.69,1546.62,5916659.0,1587.44,16.36986351742375,1620.1797270348475,1554.7002729651526,0,0.0,1595.47,1755.0170000000003,1435.923,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-04-09,1544.82,1546.27,1556.29,1542.76,2558982.0,1587.012,17.349911754670973,1621.711823509342,1552.312176490658,0,0.0,1550.4,1705.4400000000003,1395.3600000000001,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-04-10,1546.31,1533.02,1548.84,1530.25,2763050.0,1584.849,21.058512693023648,1626.9660253860472,1542.7319746139526,0,0.0,1546.27,1700.8970000000002,1391.643,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-04-11,1525.7,1533.04,1534.9,1520.66,2276624.0,1580.3375,22.036673709024843,1624.4108474180498,1536.2641525819504,0,0.0,1533.02,1686.3220000000001,1379.718,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
